name,h_size,num_layers,embedding_dim,annealer,loss,ce,hib,cib
char_model_none_100_3_10,100,3,10,none,2.858835458755493,2.747159719467163,117.09100341796875,106.26028442382812
char_model_linear_100_3_10,100,3,10,linear,2.8619916439056396,2.7497944831848145,119.28128814697266,105.11430358886719
char_model_elbow_100_3_10,100,3,10,elbow,2.8583528995513916,2.749124050140381,114.00861358642578,104.44991302490234
char_model_double_elbow_100_3_10,100,3,10,double_elbow,2.8594918251037598,2.7492482662200928,116.7992935180664,103.68782043457031
char_model_none_100_3_15,100,3,15,none,2.8607029914855957,2.749752998352051,116.0736312866211,105.82508087158203
char_model_linear_100_3_15,100,3,15,linear,2.8620331287384033,2.7508552074432373,118.98489379882812,103.3717041015625
char_model_elbow_100_3_15,100,3,15,elbow,2.85988187789917,2.7500100135803223,115.21131134033203,104.53289031982422
char_model_double_elbow_100_3_15,100,3,15,double_elbow,2.8591227531433105,2.7499887943267822,113.92243957519531,104.34585571289062
char_model_none_100_3_20,100,3,20,none,2.065112829208374,1.8696990013122559,240.164794921875,150.66348266601562
char_model_linear_100_3_20,100,3,20,linear,2.863085985183716,2.750377655029297,120.86087036132812,104.55675506591797
char_model_elbow_100_3_20,100,3,20,elbow,2.8587944507598877,2.7491793632507324,114.99541473388672,104.23551177978516
char_model_double_elbow_100_3_20,100,3,20,double_elbow,2.859238624572754,2.749929904937744,114.19583129882812,104.42100524902344
char_model_none_100_3_25,100,3,25,none,2.860393524169922,2.7479088306427,119.01838684082031,105.95100402832031
char_model_linear_100_3_25,100,3,25,linear,2.722247838973999,2.598484992980957,138.7972412109375,108.72779846191406
char_model_elbow_100_3_25,100,3,25,elbow,2.154967784881592,1.9798693656921387,211.38111877441406,138.81605529785156
char_model_double_elbow_100_3_25,100,3,25,double_elbow,2.8598146438598633,2.750098466873169,115.01568603515625,104.4177474975586
char_model_none_100_3_30,100,3,30,none,2.859232187271118,2.747457265853882,118.52836608886719,105.02186584472656
char_model_linear_100_3_30,100,3,30,linear,2.861121892929077,2.7504823207855225,116.81741333007812,104.46098327636719
char_model_elbow_100_3_30,100,3,30,elbow,2.1230621337890625,1.936979055404663,224.59649658203125,147.56959533691406
char_model_double_elbow_100_3_30,100,3,30,double_elbow,1.952409029006958,1.7357795238494873,275.6184387207031,157.6416473388672
char_model_none_100_2_10,100,2,10,none,1.6702936887741089,1.4666482210159302,263.310546875,143.9802703857422
char_model_linear_100_2_10,100,2,10,linear,1.7260662317276,1.5358012914657593,259.63824462890625,120.89143371582031
char_model_elbow_100_2_10,100,2,10,elbow,1.6814563274383545,1.4739270210266113,271.6997985839844,143.35816955566406
char_model_double_elbow_100_2_10,100,2,10,double_elbow,1.6926101446151733,1.4893096685409546,273.0820617675781,133.51844787597656
char_model_none_100_2_15,100,2,15,none,1.7303436994552612,1.5410882234573364,252.07273864746094,126.4386215209961
char_model_linear_100_2_15,100,2,15,linear,1.648419976234436,1.4345544576644897,274.8512878417969,152.87950134277344
char_model_elbow_100_2_15,100,2,15,elbow,1.694295883178711,1.488629698753357,272.9267883300781,138.40574645996094
char_model_double_elbow_100_2_15,100,2,15,double_elbow,1.6952670812606812,1.5000776052474976,257.2611083984375,133.1177215576172
char_model_none_100_2_20,100,2,20,none,1.685608148574829,1.4874134063720703,258.4548034667969,137.93443298339844
char_model_linear_100_2_20,100,2,20,linear,1.6366264820098877,1.4248034954071045,267.5194091796875,156.12594604492188
char_model_elbow_100_2_20,100,2,20,elbow,1.6501915454864502,1.439680814743042,269.06072998046875,151.9605712890625
char_model_double_elbow_100_2_20,100,2,20,double_elbow,1.6695324182510376,1.4662448167800903,272.0578918457031,134.51727294921875
char_model_none_100_2_25,100,2,25,none,1.7207809686660767,1.5216827392578125,266.0080871582031,132.18861389160156
char_model_linear_100_2_25,100,2,25,linear,1.6941895484924316,1.4982868432998657,264.02490234375,127.77970886230469
char_model_elbow_100_2_25,100,2,25,elbow,1.6456341743469238,1.437064290046692,267.0628662109375,150.07672119140625
char_model_double_elbow_100_2_25,100,2,25,double_elbow,1.651695728302002,1.4436266422271729,269.6098937988281,146.528076171875
char_model_none_100_2_30,100,2,30,none,1.7156873941421509,1.5194857120513916,256.25787353515625,136.14553833007812
char_model_linear_100_2_30,100,2,30,linear,1.7084424495697021,1.5022119283676147,271.56439208984375,140.89698791503906
char_model_elbow_100_2_30,100,2,30,elbow,1.649847388267517,1.4398722648620605,272.11126708984375,147.83822631835938
char_model_double_elbow_100_2_30,100,2,30,double_elbow,1.660353660583496,1.451502799987793,273.4247131347656,144.2772979736328
char_model_none_100_1_10,100,1,10,none,1.609176516532898,1.503617286682129,122.01200103759766,89.10628509521484
char_model_linear_100_1_10,100,1,10,linear,1.6139007806777954,1.5112944841384888,118.96939086914062,86.24320220947266
char_model_elbow_100_1_10,100,1,10,elbow,1.6030532121658325,1.4950921535491943,119.96568298339844,95.95572662353516
char_model_double_elbow_100_1_10,100,1,10,double_elbow,1.599474310874939,1.490583896636963,124.78563690185547,92.99488830566406
char_model_none_100_1_15,100,1,15,none,1.6032944917678833,1.4960695505142212,120.7891845703125,93.66119384765625
char_model_linear_100_1_15,100,1,15,linear,1.5882195234298706,1.4802714586257935,120.70452880859375,95.19144439697266
char_model_elbow_100_1_15,100,1,15,elbow,1.5933866500854492,1.4876586198806763,118.1096420288086,93.3462905883789
char_model_double_elbow_100_1_15,100,1,15,double_elbow,1.6015350818634033,1.497015118598938,120.95770263671875,88.08157348632812
char_model_none_100_1_20,100,1,20,none,1.5913082361221313,1.4837164878845215,119.41725158691406,95.7665786743164
char_model_linear_100_1_20,100,1,20,linear,1.5889039039611816,1.4835010766983032,120.51763916015625,90.28856658935547
char_model_elbow_100_1_20,100,1,20,elbow,1.591145634651184,1.4857723712921143,118.60784912109375,92.13916015625
char_model_double_elbow_100_1_20,100,1,20,double_elbow,1.5852385759353638,1.4769008159637451,118.87747192382812,97.79743957519531
char_model_none_100_1_25,100,1,25,none,1.6003669500350952,1.4963642358779907,112.67587280273438,95.32942962646484
char_model_linear_100_1_25,100,1,25,linear,1.5633275508880615,1.4486398696899414,124.0473403930664,105.32818603515625
char_model_elbow_100_1_25,100,1,25,elbow,1.577201008796692,1.4672921895980835,119.7826156616211,100.03558349609375
char_model_double_elbow_100_1_25,100,1,25,double_elbow,1.5895932912826538,1.4836519956588745,119.38302612304688,92.49925231933594
char_model_none_100_1_30,100,1,30,none,1.6109381914138794,1.5095847845077515,111.14356994628906,91.56306457519531
char_model_linear_100_1_30,100,1,30,linear,1.5826843976974487,1.4764682054519653,119.49601745605469,92.93592071533203
char_model_elbow_100_1_30,100,1,30,elbow,1.580722451210022,1.4724555015563965,119.66200256347656,96.87206268310547
char_model_double_elbow_100_1_30,100,1,30,double_elbow,1.5780466794967651,1.4670017957687378,123.46001434326172,98.62979125976562
char_model_none_75_3_10,75,3,10,none,2.8327713012695312,2.747415065765381,91.07542419433594,79.6368179321289
char_model_linear_75_3_10,75,3,10,linear,2.8328256607055664,2.7486393451690674,90.01409149169922,78.35932922363281
char_model_elbow_75_3_10,75,3,10,elbow,2.8317134380340576,2.7463860511779785,91.81949615478516,78.83502960205078
char_model_double_elbow_75_3_10,75,3,10,double_elbow,2.833207130432129,2.7489495277404785,89.91148376464844,78.60182189941406
char_model_none_75_3_15,75,3,15,none,2.8325085639953613,2.748530149459839,88.25840759277344,79.69845581054688
char_model_linear_75_3_15,75,3,15,linear,2.8330113887786865,2.749122142791748,89.55081176757812,78.22777557373047
char_model_elbow_75_3_15,75,3,15,elbow,2.832345962524414,2.748809576034546,87.99162292480469,79.08048248291016
char_model_double_elbow_75_3_15,75,3,15,double_elbow,2.832197904586792,2.7484302520751953,88.09212493896484,79.4438705444336
char_model_none_75_3_20,75,3,20,none,2.833437204360962,2.748812198638916,90.43952941894531,78.81039428710938
char_model_linear_75_3_20,75,3,20,linear,2.8334953784942627,2.749159574508667,90.00810241699219,78.6640396118164
char_model_elbow_75_3_20,75,3,20,elbow,2.831150531768799,2.747288703918457,89.05744171142578,78.6656265258789
char_model_double_elbow_75_3_20,75,3,20,double_elbow,2.830688953399658,2.745643377304077,89.7909164428711,80.29960632324219
char_model_none_75_3_25,75,3,25,none,2.8338050842285156,2.748993158340454,89.58292388916016,80.04261016845703
char_model_linear_75_3_25,75,3,25,linear,2.832688093185425,2.7484946250915527,89.7710952758789,78.61610412597656
char_model_elbow_75_3_25,75,3,25,elbow,2.8324649333953857,2.7488045692443848,87.76622772216797,79.55445098876953
char_model_double_elbow_75_3_25,75,3,25,double_elbow,2.832974672317505,2.7484476566314697,90.07533264160156,78.97876739501953
char_model_none_75_3_30,75,3,30,none,2.835632562637329,2.748539686203003,93.51296997070312,80.67288208007812
char_model_linear_75_3_30,75,3,30,linear,2.832638740539551,2.7488391399383545,88.28520965576172,79.31486511230469
char_model_elbow_75_3_30,75,3,30,elbow,2.832090139389038,2.74863338470459,87.57970428466797,79.33433532714844
char_model_double_elbow_75_3_30,75,3,30,double_elbow,2.8324358463287354,2.7486236095428467,88.99393463134766,78.63139343261719
char_model_none_75_2_10,75,2,10,none,1.7107973098754883,1.5418139696121216,213.5421600341797,124.4234619140625
char_model_linear_75_2_10,75,2,10,linear,1.7175945043563843,1.5456522703170776,226.3340301513672,117.5505599975586
char_model_elbow_75_2_10,75,2,10,elbow,1.696690559387207,1.5178953409194946,226.66461181640625,130.92576599121094
char_model_double_elbow_75_2_10,75,2,10,double_elbow,1.6742812395095825,1.4935297966003418,223.6112823486328,137.890625
char_model_none_75_2_15,75,2,15,none,1.7194743156433105,1.5500447750091553,213.79393005371094,125.0655746459961
char_model_linear_75_2_15,75,2,15,linear,1.6994765996932983,1.525111436843872,226.82113647460938,121.909423828125
char_model_elbow_75_2_15,75,2,15,elbow,1.6920230388641357,1.5148303508758545,227.65216064453125,126.73417663574219
char_model_double_elbow_75_2_15,75,2,15,double_elbow,1.6618620157241821,1.482228398323059,217.56661987304688,141.70018005371094
char_model_none_75_2_20,75,2,20,none,1.676834225654602,1.4994049072265625,216.96981811523438,137.8892059326172
char_model_linear_75_2_20,75,2,20,linear,1.6952427625656128,1.5191510915756226,227.2278594970703,124.9557876586914
char_model_elbow_75_2_20,75,2,20,elbow,1.6872323751449585,1.5082298517227173,228.58531188964844,129.4197235107422
char_model_double_elbow_75_2_20,75,2,20,double_elbow,1.6690794229507446,1.4886091947555542,226.78396606445312,134.15658569335938
char_model_none_75_2_25,75,2,25,none,1.7035601139068604,1.5336263179779053,206.2703857421875,133.59722900390625
char_model_linear_75_2_25,75,2,25,linear,1.6618359088897705,1.478499174118042,228.83615112304688,137.8365936279297
char_model_elbow_75_2_25,75,2,25,elbow,1.690454363822937,1.516783595085144,219.4652099609375,127.87653350830078
char_model_double_elbow_75_2_25,75,2,25,double_elbow,1.6541173458099365,1.46739661693573,225.89556884765625,147.54571533203125
char_model_none_75_2_30,75,2,30,none,1.7167587280273438,1.5467077493667603,217.43161010742188,122.67131805419922
char_model_linear_75_2_30,75,2,30,linear,1.666573166847229,1.4873765707015991,221.08078002929688,137.31141662597656
char_model_elbow_75_2_30,75,2,30,elbow,1.6672085523605347,1.486640214920044,221.9994659423828,139.13719177246094
char_model_double_elbow_75_2_30,75,2,30,double_elbow,1.6670242547988892,1.483815312385559,223.90621948242188,142.5114288330078
char_model_none_75_1_10,75,1,10,none,1.6916193962097168,1.608713984489441,94.03763580322266,71.7741470336914
char_model_linear_75_1_10,75,1,10,linear,1.6709873676300049,1.584912896156311,100.42724609375,71.7225112915039
char_model_elbow_75_1_10,75,1,10,elbow,1.6644083261489868,1.5748193264007568,99.99674224853516,79.18089294433594
char_model_double_elbow_75_1_10,75,1,10,double_elbow,1.66847825050354,1.581884503364563,97.68797302246094,75.4995346069336
char_model_none_75_1_15,75,1,15,none,1.665412187576294,1.5775810480117798,95.909423828125,79.75276184082031
char_model_linear_75_1_15,75,1,15,linear,1.6515263319015503,1.5622682571411133,95.9509048461914,82.56510162353516
char_model_elbow_75_1_15,75,1,15,elbow,1.6593332290649414,1.5728212594985962,95.1655044555664,77.85930633544922
