meanings,signal length,signal dimension,MI,theoretical best
4,1,1,0.49931085109710693,2.0
4,1,1,0.49961310625076294,2.0
4,1,1,0.4996011555194855,2.0
4,1,1,0.49923670291900635,2.0
4,1,1,0.6032565832138062,2.0
4,1,1,0.4995918869972229,2.0
4,1,1,0.49875321984291077,2.0
4,1,1,0.6017072796821594,2.0
4,1,1,0.49904540181159973,2.0
4,1,1,0.49936169385910034,2.0
4,1,2,1.237978219985962,2.0
4,1,2,0.6016086935997009,2.0
4,1,2,0.498586505651474,2.0
4,1,2,1.237209439277649,2.0
4,1,2,1.2395018339157104,2.0
4,1,2,1.239153504371643,2.0
4,1,2,1.241194248199463,2.0
4,1,2,1.2371916770935059,2.0
4,1,2,1.9857579469680786,2.0
4,1,2,1.2406803369522095,2.0
4,1,3,1.9899113178253174,2.0
4,1,3,1.238964557647705,2.0
4,1,3,1.2414649724960327,2.0
4,1,3,1.9885097742080688,2.0
4,1,3,1.2402375936508179,2.0
4,1,3,1.244438886642456,2.0
4,1,3,1.9868940114974976,2.0
4,1,3,1.2410005331039429,2.0
4,1,3,1.9865777492523193,2.0
4,1,3,1.9742971658706665,2.0
4,2,1,1.2485707998275757,2.0
4,2,1,0.49872711300849915,2.0
4,2,1,0.6020599007606506,2.0
4,2,1,0.6023850440979004,2.0
4,2,1,1.24416983127594,2.0
4,2,1,0.6019542217254639,2.0
4,2,1,0.6024996638298035,2.0
4,2,1,1.249106526374817,2.0
4,2,1,0.6020774841308594,2.0
4,2,1,1.2485874891281128,2.0
4,2,2,1.246045470237732,2.0
4,2,2,1.2396870851516724,2.0
4,2,2,1.9795701503753662,2.0
4,2,2,1.2408440113067627,2.0
4,2,2,1.9916774034500122,2.0
4,2,2,1.2442115545272827,2.0
4,2,2,1.9886294603347778,2.0
4,2,2,1.9886140823364258,2.0
4,2,2,1.243209958076477,2.0
4,2,2,1.2462106943130493,2.0
4,2,3,1.9870878458023071,2.0
4,2,3,1.987054467201233,2.0
4,2,3,1.9889540672302246,2.0
4,2,3,1.9854239225387573,2.0
4,2,3,1.9781194925308228,2.0
4,2,3,1.9896693229675293,2.0
4,2,3,1.9913935661315918,2.0
4,2,3,1.98285973072052,2.0
4,2,3,1.9827239513397217,2.0
4,2,3,1.9874913692474365,2.0
4,3,1,1.2441370487213135,2.0
4,3,1,1.2158825397491455,2.0
