"","name","embedding_dim","annealer","loss","ce","hib","cib"
"1","char_small_model_trial1_none_10",10,"none",2.0773446559906,1.93232369422913,17.4762516021729,11.5279293060303
"2","char_small_model_trial2_none_10",10,"none",2.07374978065491,1.92452538013458,17.6476364135742,12.1972694396973
"3","char_small_model_trial3_none_10",10,"none",2.07640981674194,1.92191398143768,18.4624805450439,12.4366331100464
"4","char_small_model_trial1_linear_10",10,"linear",2.08631062507629,1.89267861843109,21.3563327789307,17.3701190948486
"5","char_small_model_trial2_linear_10",10,"linear",2.08498120307922,1.89642870426178,21.2859153747559,16.424560546875
"6","char_small_model_trial3_linear_10",10,"linear",2.08812952041626,1.89177596569061,20.8637313842773,18.4070167541504
"7","char_small_model_trial1_elbow_10",10,"elbow",2.07926654815674,1.89667403697968,19.4932250976562,17.0253391265869
"8","char_small_model_trial2_elbow_10",10,"elbow",2.07968592643738,1.89329051971436,20.3713264465332,16.9077053070068
"9","char_small_model_trial3_elbow_10",10,"elbow",2.07503056526184,1.88924491405487,20.3378372192383,16.8193378448486
"10","char_small_model_trial1_double_elbow_10",10,"double_elbow",2.0920102596283,1.90014231204987,20.783109664917,17.5905590057373
"11","char_small_model_trial2_double_elbow_10",10,"double_elbow",2.08559370040894,1.89977538585663,20.2409152984619,16.9227123260498
"12","char_small_model_trial3_double_elbow_10",10,"double_elbow",2.09578204154968,1.89889585971832,20.6943416595459,18.6828804016113
"13","char_small_model_trial1_none_15",15,"none",2.07439255714417,1.92677426338196,17.7471656799316,11.7765712738037
"14","char_small_model_trial2_none_15",15,"none",2.06868004798889,1.91659486293793,17.6839084625244,12.7330904006958
"15","char_small_model_trial3_none_15",15,"none",2.06199526786804,1.92126166820526,16.3337574005127,11.8129081726074
"16","char_small_model_trial1_linear_15",15,"linear",2.07889413833618,1.88271534442902,20.5866756439209,18.6489925384521
"17","char_small_model_trial2_linear_15",15,"linear",2.07866287231445,1.89147472381592,21.1331653594971,16.3044567108154
"18","char_small_model_trial3_linear_15",15,"linear",2.0753161907196,1.88756704330444,20.8769702911377,16.672779083252
"19","char_small_model_trial1_elbow_15",15,"elbow",2.08292937278748,1.89166045188904,20.5907878875732,17.6630229949951
"20","char_small_model_trial2_elbow_15",15,"elbow",2.0809965133667,1.90135073661804,21.1462726593018,14.7828664779663
"21","char_small_model_trial3_elbow_15",15,"elbow",2.0753915309906,1.88898086547852,20.5551662445068,16.7269458770752
"22","char_small_model_trial1_double_elbow_15",15,"double_elbow",2.09469723701477,1.90279698371887,20.9845485687256,17.3956050872803
"23","char_small_model_trial2_double_elbow_15",15,"double_elbow",2.08346915245056,1.89666366577148,20.3911552429199,16.9699096679688
"24","char_small_model_trial3_double_elbow_15",15,"double_elbow",2.08157801628113,1.89084434509277,21.0298099517822,17.1169109344482
"25","char_small_model_trial1_none_20",20,"none",2.06975293159485,1.92134821414948,17.0225887298584,12.6583461761475
"26","char_small_model_trial2_none_20",20,"none",2.06173849105835,1.91884970664978,16.2092971801758,12.3684940338135
"27","char_small_model_trial3_none_20",20,"none",2.0681734085083,1.91171634197235,17.8533916473389,13.4379549026489
